Al,Ca,Fe,Mg,Mn,Ni,overpotential
0.161180036,0.148959167,0.343529428,0.334470469,0.005740108,0.006120792,1.7911
0.070598348,0.13862148,0.44231618,0.327705006,0.006661275,0.014097712,1.7915
0.133599244,0.106218017,0.428379782,0.304112873,0.003731984,0.0239581,1.7916
0.05679112,0.104258601,0.34297131,0.48394754,0.006130848,0.005900582,1.7931
0.128082049,0.12471247,0.416053937,0.309380307,0.005087821,0.016683416,1.7933
0.216662338,0.170146347,0.35949005,0.236477738,0.004640128,0.012583399,1.7943
0.037679148,0.065954772,0.69967823,0.138089328,0.003075987,0.055522533,1.7944
0.113946793,0.14026995,0.379383448,0.35350127,0.006626159,0.006272381,1.7967
0.10938835,0.098598087,0.392989902,0.37610052,0.004173041,0.0187501,1.797
0.056307298,0.073061218,0.394550835,0.453221349,0.004400781,0.018458519,1.797
0.069298035,0.068490465,0.676549241,0.1282203,0.002552046,0.054889912,1.797
0.115555655,0.129682078,0.417692409,0.314999638,0.005262822,0.016807399,1.797
0.067907304,0.122600571,0.457374799,0.32948194,0.006358187,0.016277198,1.7974
0.300083637,0.169259466,0.295800574,0.219198042,0.002769504,0.012888776,1.7975
0.103641232,0.11258004,0.446285875,0.311250754,0.004824821,0.021417277,1.7977
0.07559,0.128945144,0.457453356,0.315133844,0.006320409,0.016557247,1.798
0.063370719,0.143811782,0.405271215,0.373665091,0.00753462,0.006346572,1.7985
0.139496044,0.139107871,0.417711455,0.281312184,0.005085009,0.017287436,1.7997
0.153952456,0.131930426,0.312105448,0.391021207,0.005103035,0.005887427,1.8015
0.159060791,0.160802216,0.333231131,0.3351207,0.005741489,0.006043672,1.8028
0.092824344,0.11875358,0.452268887,0.311662716,0.005532253,0.01895822,1.8034
0.103967548,0.114374393,0.443762024,0.311600103,0.004784192,0.021511741,1.8037
0.066205789,0.14404284,0.492263478,0.270497843,0.006473859,0.020516191,1.804
0.119973155,0.158812358,0.415797598,0.291507802,0.007371139,0.006537949,1.8045
0.036199024,0.052672968,0.674751821,0.179313213,0.002711648,0.054351325,1.8047
0.120733137,0.146406266,0.442336679,0.2707333,0.006457307,0.013333312,1.8056
0.042648061,0.184798584,0.41877908,0.341656115,0.009020025,0.003098135,1.8057
0.162649128,0.137177856,0.367013764,0.315836705,0.004855635,0.012466913,1.8073
0.01678115,0.060056828,0.298979402,0.614172897,0.005426178,0.004583543,1.8074
0.061926706,0.129263581,0.452634251,0.333302867,0.006370795,0.016501799,1.8075
0.067805981,0.123394584,0.513375328,0.267972078,0.006487499,0.02096453,1.8083
0.041970406,0.084341651,0.283972988,0.581620935,0.005623906,0.002470114,1.8091
0.106958649,0.135159955,0.335640385,0.410350043,0.005938225,0.005952744,1.8097
0.053547981,0.071393643,0.338803767,0.51995359,0.004670098,0.011630921,1.8097
0.220745579,0.152171158,0.389715263,0.214310928,0.00369527,0.0193618,1.8097
0.155777446,0.163504576,0.357481295,0.308398594,0.0056577,0.009180388,1.8097
0.125076798,0.181291176,0.407708344,0.272126444,0.007507277,0.006289961,1.8097
0.092625139,0.141139843,0.432428231,0.315572075,0.006807168,0.011427544,1.8098
0.146281944,0.138033399,0.414733792,0.278704896,0.004963326,0.017282642,1.8104
0.051075536,0.069899439,0.288852463,0.579747988,0.004911416,0.005513157,1.8114
0.084437111,0.113764699,0.457084231,0.318170901,0.005202991,0.021340067,1.8126
0.120618849,0.140226898,0.463298652,0.250088423,0.005509186,0.020257993,1.813
0.054017662,0.08350889,0.317343891,0.533912882,0.005499396,0.00571728,1.8132
0.063777563,0.1376753,0.447878122,0.329818153,0.006814256,0.014036605,1.8132
0.102589639,0.113264387,0.310023199,0.463049137,0.0053074,0.005766238,1.8138
0.115358765,0.128710386,0.419069547,0.314809495,0.005282932,0.016768874,1.8138
0.105357425,0.169001808,0.397272094,0.312377846,0.006843929,0.009146898,1.8163
0.066731527,0.137258921,0.49919971,0.269668011,0.006478341,0.020663491,1.8169
0.062669869,0.118686917,0.45735875,0.335769993,0.005733318,0.019781153,1.817
0.070770398,0.156381519,0.480294724,0.276866089,0.008802377,0.006884893,1.817
0.041262129,0.176440991,0.478771593,0.28304762,0.008344628,0.012133039,1.818
0.171201592,0.149565297,0.422591246,0.232323919,0.00458606,0.019731887,1.8238
0.096903322,0.132448317,0.433346617,0.317064332,0.006219749,0.014017663,1.8248
0.128369463,0.194915001,0.405278629,0.257396489,0.007571602,0.006468816,1.825
0.152970608,0.137767546,0.307311685,0.390991054,0.005107589,0.005851517,1.8254
0.135844411,0.128498293,0.406200969,0.307719207,0.00486585,0.01687127,1.8264
0.151201809,0.146897445,0.381463264,0.305628478,0.00596168,0.008847324,1.8286
0.095426052,0.127776286,0.446282429,0.307962679,0.005933326,0.016619227,1.8305
0.063009667,0.127954666,0.460720471,0.327617698,0.006976796,0.013720702,1.8311
0.034107576,0.17994365,0.479242168,0.286063384,0.008445935,0.012197287,1.8325
0.068987406,0.072643823,0.671866968,0.129269838,0.002565468,0.054666497,1.834
0.022144442,0.187481342,0.494176898,0.280053572,0.00996405,0.006179696,1.8354
0.139756209,0.14013431,0.416288413,0.281428879,0.005063807,0.017328383,1.8355
0.15653216,0.129260113,0.411666193,0.278453448,0.004264047,0.01982404,1.8365
0.049625765,0.135980363,0.465157498,0.325809161,0.006738925,0.016688287,1.8368
0.218894727,0.13978765,0.352513406,0.26784078,0.003215113,0.017748324,1.8378
0.208426398,0.145888722,0.331674036,0.297825923,0.004017481,0.01216744,1.838
0.123190934,0.112282601,0.434121345,0.30443988,0.00442272,0.02154252,1.84
0.068343525,0.149776341,0.456075005,0.310731533,0.008362398,0.006711198,1.8407
0.110846928,0.116092067,0.437130923,0.30967237,0.004608345,0.021649368,1.8418
0.097989934,0.136218054,0.441359102,0.303923461,0.006370873,0.014138577,1.842
0.204864152,0.163006357,0.304518764,0.316769591,0.00490178,0.005939356,1.8426
